generation,baseline_best,baseline_avg,baseline_worst,cost_best,cost_avg,cost_worst,degree_best,degree_avg,degree_worst,dijkstra_best,dijkstra_avg,dijkstra_worst,hybrid_best,hybrid_avg,hybrid_worst
147,942.8324,922.9788,766.3005,1038.8690,1029.2581,973.6255,898.9764,868.9729,671.4458,936.2892,906.1563,721.9955,1087.6349,1057.8545,896.6169
148,942.8324,929.7528,793.0300,1038.8690,1032.2034,959.2712,898.9764,861.5981,671.4458,936.2892,906.5811,617.7551,1087.6349,1066.6568,967.8211
149,942.8324,923.6997,816.2553,1038.8690,1027.5374,932.5375,898.9764,877.8764,671.4458,936.2892,893.4295,668.7077,1087.6349,1071.6897,982.9882
150,942.8324,928.4633,831.2306,1038.8690,1027.8874,955.7579,901.4506,876.4016,757.5472,936.2892,880.8681,601.0241,1087.6349,1069.6501,827.3775
151,942.8324,939.0117,831.2306,1038.8690,1029.2009,895.2841,901.4506,873.3038,740.5790,936.2892,885.0367,665.8963,1087.6349,1065.1454,918.7797
152,942.8324,933.9043,831.2306,1038.8690,1037.7634,1011.2286,928.2667,882.3375,703.8048,936.2892,868.7784,631.0208,1087.6349,1074.6670,919.2006
153,942.8324,923.9927,831.2306,1038.8690,1037.3946,1001.7125,928.2667,867.6615,663.8806,936.2892,904.1627,656.4170,1087.6349,1077.3416,896.6169
154,942.8324,931.2971,812.4732,1038.8690,1037.5454,1000.3260,928.2667,868.1074,671.4458,955.5370,921.7514,749.7548,1087.6349,1068.8665,860.5370
155,942.8324,931.1205,821.0506,1038.8690,1033.6775,914.2727,928.2667,845.1452,671.4458,955.5370,915.3933,749.7548,1087.6349,1064.9309,904.2292
156,942.8324,929.4402,831.2306,1038.8690,1028.6907,868.7075,928.2667,861.6141,671.4458,955.5370,919.3699,658.3290,1087.6349,1065.1773,896.6169
157,942.8324,929.1805,766.3005,1038.8690,1023.9552,854.2921,928.2667,876.8893,673.9201,955.5370,900.8948,732.2909,1087.6349,1066.8526,820.4838
158,942.8324,917.8167,766.3005,1038.8690,1028.3225,925.3682,928.2667,883.5414,703.8048,955.5370,927.6899,636.6045,1087.6349,1077.7324,846.6524
159,942.8324,923.4674,719.3010,1038.8690,1029.9753,933.6857,928.2667,901.2350,703.8048,955.5370,933.7245,754.0652,1087.6349,1073.1256,902.0172
